true,pred
1.589383,1.9172149
1.4144989,1.763096
1.6329131,1.919021
1.4754786,1.7767732
1.6788676,2.009393
1.5474986,1.8565472
1.5997045,1.9160258
1.4398718,1.7740452
1.6518267,1.9816015
1.5526757,1.8912385
1.5592365,1.8204573
1.521045,1.818313
1.3976451,1.7282616
1.6494205,1.9005862
1.5354682,1.8873204
1.5143895,1.8775854
1.5506461,1.8581661
1.4435569,1.7938925
1.4971709,1.7921585
1.6996787,1.9947714
1.549669,1.8379256
1.6189787,1.8712199
1.3935068,1.7580138
1.402245,1.7208394
1.4408671,1.7854797
1.4737483,1.76401
1.6311275,1.9636116
1.5601251,1.8446841
1.4448267,1.7488668
1.4843814,1.7919317
1.4464282,1.817276
1.3514001,1.7172657
1.6424865,1.9595168
1.486687,1.8060846
0.6151734,0.46936992
0.1415606,0.3607606
0.44964653,0.598871
0.33799112,0.516027
0.822327,0.6718234
0.25466812,0.45021817
0.6341918,0.4913316
0.6998734,0.52737296
0.7506999,0.58984447
0.7209589,0.5593834
0.6555877,0.46953395
0.14211635,0.42711774
0.5159625,0.5409696
0.39421797,0.4653884
0.7557716,0.6189048
0.17575836,0.32861885
0.48661178,0.49951074
0.67883694,0.589916
0.19609696,0.37831625
0.21983822,0.49502596
0.33921733,0.33575234
0.5771186,0.44646654
0.3661117,0.49623242
0.2629962,0.46971002
0.23428753,0.42881933
0.577466,0.4963573
0.41832143,0.54061604
0.33144718,0.6077312
0.38999832,0.51584923
0.64852554,0.49888048
0.6164719,0.5822289
0.61574566,0.42890123
0.6303798,0.55132675
0.17377058,0.4352124
0.18349096,0.426555
0.62691534,0.5612097
0.55206966,0.40188858
0.64823556,0.5226381
0.28398114,0.47659126
0.17706631,0.39182284
0.34184912,0.5712912
0.26567316,0.3778294
0.4705052,0.45229533
0.27966088,0.47321305
0.66722286,0.54585445
0.7404144,0.6149502
0.5404086,0.57111585
0.6677985,0.5757977
0.6233165,0.52449584
0.43770808,0.528512
0.6382827,0.6103474
0.70450705,0.5233052
0.2105193,0.5110949
0.29976898,0.51873934
0.48393753,0.51193523
0.2895724,0.5715319
0.42117608,0.51750314
0.12909059,0.39094725
0.2823708,0.39011744
0.7617669,0.6391063
0.5343537,0.5415962
0.5320616,0.54742885
0.23654261,0.40978137
0.4332733,0.41791245
0.26114973,0.43199733
0.67449313,0.5659964
0.3172946,0.555159
0.17676568,0.35146132
0.55827904,0.45181093
0.62545377,0.56287026
0.40088943,0.41842088
0.30864373,0.46113446
0.46992698,0.56155586
0.44823498,0.41187516
0.5579275,0.5057454
0.5459952,0.5327518
0.6085494,0.57716405
0.6090805,0.58107674
0.5340916,0.38372514
0.30142987,0.48995247
0.5750728,0.6709136
0.24792157,0.42842737
0.56627125,0.50557625
